harvest_delay_hours,storage_temp_c,humidity_percent,ripeness_score,ffa_percentage
6.31,32.81,81.5,1,1.261
8.5,30.15,85.53,1,1.689
69.26,28.4,65.58,3,3.984
65.42,44.06,82.11,1,3.693
50.38,28.91,67.91,1,2.077
19.14,44.19,93.79,1,2.721
69.78,40.22,93.41,1,3.542
56.07,37.82,77.19,1,3.152
51.62,38.52,98.67,1,3.289
32.35,31.63,99.19,0,1.941
19.6,37.93,65.17,1,1.95
6.94,28.73,74.71,2,1.693
64.99,43.75,84.01,1,3.702
32.82,31.04,63.39,3,3.481
14.57,30.1,75.31,1,1.489
22.03,39.22,70.45,1,1.538
41.7,38.13,98.08,1,3.165
12.73,34.03,76.46,1,1.556
61.68,37.65,90.51,2,3.943
54.61,28.19,75.47,0,2.141
51.8,38.47,65.27,1,2.297
31.11,30.41,94.53,1,2.199
45.17,30.46,60.02,2,2.375
42.06,28.24,62.24,1,1.774
46.79,31.65,74.58,3,3.934
6.08,31.63,87.48,2,2.315
29.94,34.08,73.67,1,1.822
3.0,28.81,62.65,2,1.753
35.57,28.86,72.71,3,3.622
23.75,35.83,69.8,0,1.535
10.41,27.58,60.22,1,0.74
7.45,38.78,81.39,0,1.336
42.31,43.88,64.67,1,2.623
12.28,33.54,71.5,0,1.11
66.61,43.02,85.65,1,3.902
41.84,26.97,89.0,1,2.068
24.97,25.86,70.54,1,1.244
42.55,39.43,73.17,0,2.385
1.64,40.22,69.88,1,1.312
69.02,41.86,98.28,1,4.019
34.73,26.14,67.62,1,1.803
56.36,40.54,67.33,1,2.853
5.96,32.53,77.8,0,1.168
35.04,31.07,67.57,1,1.892
35.33,28.46,66.27,3,3.02
67.52,44.92,63.84,0,3.134
41.16,26.27,85.61,1,2.116
34.09,41.54,84.48,0,2.684
19.22,37.79,86.01,1,2.263
23.87,39.7,90.93,0,2.274
37.49,39.23,73.05,1,2.585
31.6,42.17,96.74,1,2.972
1.56,28.68,89.33,0,1.07
59.49,25.02,92.19,1,2.557
64.52,36.97,88.84,1,3.429
10.1,32.08,74.34,1,1.301
39.89,27.48,71.32,3,3.776
7.82,28.72,76.9,1,1.554
48.4,31.63,63.88,2,2.976
20.25,26.4,78.05,1,1.706
47.48,26.14,61.73,0,1.386
52.34,43.32,60.16,0,2.282
55.34,31.24,97.26,1,2.839
7.76,44.64,87.57,1,2.316
65.95,44.29,82.47,2,4.267
16.58,27.85,73.64,1,1.032
2.69,39.3,82.82,1,1.943
39.95,37.02,95.66,1,3.25
26.71,38.81,86.1,1,2.642
59.74,26.92,84.1,1,2.771
58.19,28.77,78.41,0,2.368
22.83,26.53,73.83,0,1.082
68.61,37.08,87.94,1,3.452
20.95,44.73,99.24,0,3.177
37.08,38.44,76.99,1,2.381
18.43,39.22,75.69,0,1.685
67.4,44.69,77.12,0,3.556
11.85,38.56,77.02,2,2.656
3.23,25.8,99.62,3,2.752
31.33,42.34,88.27,1,2.753
71.45,32.29,74.37,1,2.884
64.2,25.09,74.86,2,3.123
53.9,35.14,77.23,0,2.716
64.14,43.74,61.47,1,2.94
64.33,30.15,81.11,0,2.79
37.36,34.83,92.46,1,2.599
22.75,28.48,86.42,3,3.739
55.58,26.15,67.94,2,2.882
47.64,26.61,89.12,3,3.91
26.9,39.54,88.78,1,2.629
6.8,42.28,70.5,1,1.617
53.77,27.87,84.91,2,2.802
18.9,30.77,84.44,1,1.658
67.45,28.9,93.59,1,2.971
17.35,25.54,65.44,0,0.626
8.84,36.07,67.79,1,1.389
59.84,39.0,79.44,0,2.551
11.04,37.96,61.77,1,1.386
12.91,32.76,76.62,0,1.361
43.16,36.1,91.53,1,2.812
62.97,26.88,65.95,0,2.093
14.14,28.09,78.4,0,1.136
22.34,43.64,99.59,1,2.825
55.97,40.23,80.24,0,2.911
69.97,43.45,79.93,3,5.249
36.05,43.33,82.35,1,2.656
10.36,37.99,67.44,1,1.571
1.0,43.56,65.89,0,1.353
16.54,33.33,87.09,2,2.46
9.49,25.07,75.83,1,1.489
48.79,26.25,71.6,1,2.035
8.77,27.19,61.26,0,0.646
36.46,26.91,93.84,1,2.049
49.99,32.03,61.29,3,3.612
41.84,39.03,90.0,1,3.035
14.38,40.81,75.28,0,1.608
57.9,36.8,83.95,0,2.753
51.51,27.93,69.91,0,1.883
53.21,39.96,66.22,1,2.529
9.44,32.1,81.34,3,2.762
8.91,25.26,87.82,3,2.755
66.78,30.61,67.82,2,3.471
28.63,31.61,77.45,0,1.717
21.67,30.48,77.79,3,3.529
35.18,41.24,68.64,1,2.469
47.73,40.2,82.6,1,3.046
68.8,38.91,65.84,1,3.397
20.62,27.78,80.39,0,1.32
66.59,41.16,64.54,2,3.742
1.79,38.54,79.42,3,3.187
39.97,28.9,72.46,2,2.892
45.65,37.96,78.09,2,3.318
7.62,34.67,77.35,1,1.375
10.1,33.79,96.32,0,1.785
30.18,27.24,79.6,2,2.252
69.57,35.37,92.74,1,3.555
42.92,27.0,69.03,2,2.625
67.18,28.29,74.08,0,2.436
57.91,27.65,63.0,1,2.325
33.65,44.08,76.83,1,2.372
56.5,30.7,86.75,1,2.743
1.28,32.1,93.53,2,2.051
7.86,31.44,82.64,3,3.538
59.72,42.97,85.6,0,3.331
57.37,36.26,67.09,1,2.554
16.75,43.38,61.49,0,1.388
38.22,31.0,91.67,0,2.375
43.63,27.3,66.68,1,1.832
62.48,36.12,63.65,1,2.591
43.42,31.91,97.5,1,2.698
29.71,41.04,98.54,1,3.061
26.94,42.59,84.65,1,2.716
30.66,34.45,75.15,2,2.689
46.94,44.43,93.33,0,3.309
62.46,36.06,68.19,1,2.844
32.68,30.42,77.18,1,1.982
17.84,34.78,74.28,2,2.427
17.04,25.75,96.51,2,2.458
53.71,41.08,96.79,0,3.336
58.79,27.03,86.04,1,2.439
7.58,31.17,64.43,2,1.72
4.79,36.31,79.29,1,1.68
42.8,25.86,69.81,1,1.537
10.52,26.59,95.4,3,2.741
59.38,38.92,65.54,0,2.774
22.34,26.44,62.17,1,1.504
10.36,34.54,88.18,2,2.196
66.31,31.77,78.13,0,2.7
11.92,29.56,93.53,1,1.53
20.5,28.78,62.99,1,1.254
11.06,40.27,92.04,2,2.946
8.32,44.03,61.49,2,2.064
1.52,27.8,61.12,2,1.184
3.99,44.19,78.45,0,1.666
12.57,36.9,68.85,2,2.178
3.84,37.83,83.75,2,2.152
42.56,39.2,61.03,1,2.454
49.01,39.08,61.42,1,2.405
28.34,41.4,89.09,0,2.41
22.9,34.67,68.41,2,2.416
36.33,35.67,86.26,0,2.254
63.0,31.48,90.0,1,3.137
61.28,27.11,62.37,2,2.758
3.13,38.29,90.79,3,3.226
13.07,25.67,70.74,3,2.636
17.05,30.51,75.58,1,1.504
17.96,26.88,63.47,0,0.734
41.13,28.81,93.55,1,2.078
29.97,37.77,82.43,0,2.183
3.55,37.57,80.19,2,2.114
26.9,33.42,98.74,1,2.075
37.71,26.8,73.38,1,1.999
7.32,33.67,95.63,0,1.471
60.01,32.05,88.79,1,3.13
3.74,39.41,97.14,2,2.775
66.59,36.58,96.31,1,3.592
7.14,34.83,99.64,0,1.703
60.74,34.74,65.27,0,1.974
64.99,44.33,91.84,1,3.696
70.53,40.13,92.18,0,3.559
57.75,34.94,85.77,3,4.647
56.12,34.58,71.15,1,2.302
46.26,25.53,98.61,0,2.185
56.09,43.85,68.18,2,3.435
9.69,31.38,79.98,1,1.464
38.6,30.12,80.86,0,1.915
37.02,44.99,66.47,1,2.649
61.75,39.37,88.9,0,3.416
33.32,25.95,63.55,1,1.598
27.73,26.24,87.72,2,2.575
46.05,25.51,93.94,2,2.9
19.19,36.99,73.98,1,2.345
10.06,26.43,88.38,1,1.111
34.41,43.67,66.27,0,2.09
30.02,43.74,93.84,1,3.172
16.75,35.92,98.08,0,2.171
26.46,37.33,66.11,1,1.978
26.38,30.84,87.67,0,1.876
23.58,26.28,80.23,3,2.769
27.32,39.75,81.26,2,3.299
49.37,27.04,88.26,1,2.341
21.38,26.71,79.55,2,2.37
68.32,31.22,84.01,0,2.44
65.98,25.25,69.24,1,2.471
34.63,33.68,75.14,0,1.799
23.64,39.15,94.61,0,2.461
38.55,41.03,64.4,1,2.401
61.1,37.09,83.9,1,3.219
46.99,41.94,67.37,1,2.461
57.92,33.13,93.86,1,3.02
38.36,41.98,83.16,0,2.591
45.57,35.13,76.12,0,2.366
20.75,29.46,69.99,1,1.628
52.91,43.88,77.47,1,3.175
14.57,30.5,98.3,0,1.372
50.03,25.52,80.37,1,2.22
61.97,29.85,78.78,1,3.15
9.51,32.33,89.85,1,1.943
44.24,32.03,75.16,2,2.383
6.85,35.49,77.1,1,1.52
52.25,42.66,73.48,1,3.126
6.08,30.85,66.04,1,1.035
67.39,35.42,88.55,1,3.235
9.89,31.8,94.92,0,1.464
69.04,41.44,96.22,0,3.833
57.66,28.15,95.23,2,3.198
42.75,27.07,78.07,0,2.058
56.35,35.06,71.36,1,2.646
57.25,38.44,85.52,1,3.001
68.11,40.91,98.19,1,4.127
18.24,36.79,89.08,2,2.509
42.49,40.48,79.79,1,2.66
6.84,32.85,87.55,0,1.264
44.36,25.66,90.9,2,3.263
12.33,27.32,96.77,1,1.44
40.68,25.77,90.53,1,1.743
41.21,31.58,77.33,1,2.101
33.55,34.91,70.94,1,2.13
37.63,32.13,80.0,1,2.329
55.0,36.21,73.13,3,4.722
57.55,34.61,97.71,1,3.45
35.44,38.56,80.32,1,2.52
43.17,38.34,78.88,0,2.281
67.05,31.36,73.93,0,2.9
8.62,31.92,85.58,1,1.456
8.43,36.7,80.8,1,1.575
6.32,36.93,65.16,1,1.258
47.37,31.29,94.77,2,3.074
30.14,31.61,74.36,0,1.583
55.75,38.88,77.3,1,2.917
48.33,37.95,68.23,2,3.302
24.02,27.7,82.14,2,2.23
64.68,33.82,88.08,2,3.562
54.9,42.85,95.25,2,3.998
19.48,25.73,62.06,0,0.96
26.22,42.1,98.93,1,2.953
22.64,28.26,88.15,3,3.236
11.35,35.14,71.37,1,1.406
10.64,33.49,68.18,0,1.209
67.4,25.2,71.84,3,4.351
31.53,43.31,95.03,0,2.713
27.6,34.1,71.66,1,1.886
52.54,44.09,78.51,0,3.151
39.82,30.73,88.23,1,2.167
67.4,42.33,94.88,1,3.913
56.18,43.45,86.34,1,3.453
34.51,36.14,90.12,2,2.956
27.1,29.05,66.93,1,1.578
71.04,38.7,95.1,1,3.778
51.68,35.98,71.03,2,3.32
68.49,43.89,65.14,2,3.699
8.53,33.79,99.05,0,1.693
61.24,30.37,68.07,0,2.562
45.87,27.77,65.47,1,2.328
8.78,38.97,85.04,2,2.81
42.35,44.48,72.75,1,2.556
49.4,25.57,65.33,0,1.826
0.89,39.81,84.04,1,1.661
32.71,43.54,90.36,1,3.02
59.43,26.5,91.73,1,2.531
21.27,27.2,66.22,2,1.643
33.02,38.84,82.27,2,3.073
31.85,37.96,92.55,1,2.774
21.74,26.38,66.44,1,1.332
66.13,41.69,68.31,1,3.226
56.25,35.47,60.1,1,2.524
7.96,43.14,80.99,1,2.112
71.79,42.56,67.79,1,3.427
63.3,41.25,88.97,1,3.533
20.44,35.32,98.49,1,2.313
60.26,30.03,68.35,0,2.591
7.66,35.12,85.96,1,1.719
71.94,27.02,68.47,1,2.654
47.93,38.18,60.72,1,2.419
46.81,27.68,90.34,1,2.334
6.51,35.22,77.36,0,1.213
64.59,26.09,97.87,3,4.522
2.09,30.99,81.37,2,1.785
17.34,29.64,66.3,1,1.284
10.3,37.4,77.99,1,1.575
55.93,40.74,68.12,1,2.862
14.27,26.15,95.12,1,1.64
65.57,42.01,87.64,3,5.215
47.25,42.22,73.65,0,2.25
2.6,31.85,81.11,0,1.188
0.39,38.18,86.78,1,1.727
3.72,33.05,91.31,0,1.19
43.63,28.08,63.21,1,2.014
57.71,35.57,60.9,2,2.939
17.18,26.73,64.58,0,1.136
61.16,42.57,75.8,1,3.239
4.12,43.49,78.67,1,1.485
57.67,41.43,65.46,2,3.558
66.8,36.25,76.45,1,3.019
55.59,36.15,77.66,0,2.522
50.26,44.69,64.36,1,2.68
60.33,29.96,96.67,1,2.906
2.89,26.52,83.97,2,1.64
14.53,36.24,75.54,1,1.379
8.99,31.58,80.28,0,1.448
36.33,31.45,72.57,2,2.595
53.65,25.14,94.17,1,2.366
45.36,36.92,83.0,0,2.312
61.28,30.28,79.8,1,2.839
11.18,28.76,96.44,3,2.959
52.89,25.81,93.52,1,2.522
13.9,32.29,92.51,0,1.501
19.49,42.58,69.02,1,1.898
51.11,31.73,66.12,0,1.881
70.57,38.58,87.6,1,3.462
44.03,40.13,78.75,1,2.757
3.92,31.56,87.35,0,1.252
44.37,41.43,90.43,1,2.999
3.05,38.84,71.81,3,3.039
63.66,36.18,71.39,0,2.858
51.09,25.02,79.63,2,2.544
12.47,25.7,70.94,1,1.08
6.6,44.82,86.69,1,2.092
13.21,40.65,89.87,0,1.876
70.56,43.75,78.88,0,3.487
33.02,43.05,88.95,0,2.608
56.45,25.41,80.42,1,2.144
45.82,40.84,88.51,3,4.929
41.21,34.02,69.0,2,2.987
10.45,40.79,89.55,0,1.647
68.11,25.13,88.6,0,2.319
21.7,30.76,70.66,0,1.451
41.62,40.03,82.24,3,4.323
50.38,40.86,94.21,0,3.428
46.74,37.39,69.98,0,2.394
67.72,31.03,89.44,1,3.125
10.69,31.21,98.16,1,1.564
36.6,44.34,94.65,0,3.133
29.09,33.78,76.06,1,1.75
34.14,33.94,84.29,0,2.314
8.58,36.05,99.67,0,1.942
9.65,33.19,82.74,0,1.221
20.02,36.05,64.6,1,1.786
21.94,33.65,61.82,3,3.542
30.81,41.53,91.61,1,2.786
43.99,43.18,76.95,2,3.615
45.69,43.64,69.87,1,2.657
29.65,36.29,73.91,1,2.089
29.43,33.84,90.29,3,3.597
15.67,39.1,78.61,1,1.96
42.36,41.77,94.74,3,4.831
22.83,36.26,89.4,1,2.554
2.6,39.0,98.96,1,1.782
30.12,39.99,95.54,0,2.556
34.14,38.53,70.18,1,2.442
16.24,39.92,86.36,1,2.168
41.22,29.17,60.82,3,3.392
40.74,34.97,99.64,2,3.325
50.54,36.77,70.44,1,2.395
46.65,25.05,86.59,3,3.462
46.98,42.12,93.97,2,3.883
22.77,37.2,66.42,1,1.616
56.7,27.58,93.92,0,2.504
39.54,41.33,60.49,0,1.979
31.06,39.34,77.68,0,2.064
45.07,40.17,78.88,0,2.506
25.97,32.84,74.96,3,3.421
36.92,42.08,83.46,0,2.505
53.04,33.28,96.59,1,2.775
63.82,36.41,73.08,1,2.965
66.32,25.01,83.17,1,2.838
36.26,37.9,95.1,0,2.636
37.46,39.36,90.92,1,2.732
57.59,36.34,61.63,1,2.562
22.64,34.93,97.71,1,1.943
60.29,41.2,61.87,0,2.651
35.58,38.63,83.55,1,2.498
8.34,30.56,83.01,0,1.024
5.19,44.18,91.46,1,2.19
60.62,39.15,65.94,1,2.784
4.0,44.76,67.17,0,1.637
20.2,44.43,90.08,2,3.538
24.06,43.38,65.98,0,1.731
12.46,40.11,78.78,3,3.441
22.6,37.19,89.27,2,2.84
53.47,28.44,86.05,1,2.658
1.06,35.87,68.42,1,1.227
59.56,40.31,72.16,0,2.819
61.67,35.42,98.76,2,4.129
26.8,42.36,77.95,1,2.297
11.06,27.19,61.78,0,1.01
43.26,32.62,68.78,1,2.158
8.62,35.12,73.7,0,1.112
26.27,33.65,99.98,1,2.319
69.01,27.17,72.11,1,2.857
71.67,28.07,61.06,0,2.292
55.59,41.75,80.52,2,4.01
22.39,34.69,63.34,0,1.309
49.51,25.97,70.96,1,1.919
50.79,25.33,99.7,1,2.639
27.92,34.47,88.19,3,3.669
46.14,28.29,62.03,1,2.078
0.77,39.1,77.95,2,2.27
15.05,40.91,66.87,1,1.61
37.81,29.57,64.92,2,2.454
11.79,36.84,83.48,0,1.549
11.95,28.09,80.23,1,1.386
60.21,31.07,89.71,0,3.023
71.22,42.78,95.69,3,5.601
40.03,35.88,69.87,3,3.934
60.41,42.72,96.92,1,3.821
71.3,29.5,80.72,1,2.942
10.19,31.6,70.35,1,1.249
32.27,34.42,93.83,0,2.095
28.27,34.6,61.42,1,1.8
5.76,44.95,82.38,1,2.07
54.38,27.29,88.86,1,2.366
31.23,42.04,71.2,0,2.304
33.79,42.27,94.54,2,3.697
10.85,36.06,69.61,0,1.243
13.03,31.88,93.59,1,2.017
65.31,35.38,63.14,0,2.235
3.21,30.85,66.4,0,1.028
16.77,40.98,75.24,0,1.642
21.03,34.97,94.16,1,2.238
35.29,43.52,65.78,1,2.288
42.22,37.45,95.02,1,2.77
35.52,35.29,69.19,1,2.32
6.06,39.22,78.1,1,2.038
17.54,35.08,74.11,0,1.464
60.74,43.09,64.73,0,2.879
45.91,28.69,97.77,1,2.524
46.74,44.47,77.53,1,3.331
48.25,41.24,87.61,1,2.775
54.93,42.21,83.01,0,3.132
4.18,34.66,80.07,2,1.976
26.4,41.74,84.66,0,1.915
38.85,31.14,95.93,1,2.373
24.37,40.24,87.97,0,2.615
60.8,27.81,81.3,1,2.48
34.75,31.14,85.81,1,2.301
55.34,33.91,84.26,1,3.044
61.35,31.45,77.32,0,2.52
36.34,32.74,84.99,1,2.302
65.49,41.4,77.74,0,2.845
42.27,30.13,90.3,1,2.239
61.22,39.91,98.76,0,3.652
24.52,26.47,98.39,0,1.679
35.91,40.31,92.83,1,2.976
38.26,40.84,84.07,0,2.604
7.56,33.03,89.97,0,1.837
28.7,39.45,67.12,2,2.633
66.05,43.3,79.16,2,4.446
45.42,41.01,70.29,2,3.293
12.78,32.81,60.14,1,1.541
24.4,34.68,98.67,1,2.139
13.8,40.59,94.55,2,3.08
1.79,30.85,80.55,0,0.926
66.78,41.08,70.17,1,3.199
32.27,31.56,87.72,0,2.173
22.14,41.12,77.39,2,2.922
43.09,26.74,92.13,1,2.482
0.53,25.89,99.98,1,1.123
20.02,44.95,73.96,1,2.097
50.62,42.39,69.78,0,2.608
45.63,42.66,70.7,1,2.703
70.69,44.03,63.73,1,3.27
44.67,33.77,75.76,1,2.205
34.38,30.74,60.7,1,1.929
54.82,27.6,64.58,0,1.9
65.04,35.02,70.87,1,3.127
51.89,29.4,66.39,1,2.202
69.35,43.71,89.29,0,3.818
56.3,25.08,64.22,3,3.785
62.41,27.86,94.64,1,2.707
8.22,29.93,68.84,1,1.193
52.73,28.98,64.34,3,4.117
31.69,29.52,60.4,1,1.629
39.82,38.12,88.61,3,4.532
47.1,31.55,70.26,1,2.359
69.83,37.3,80.38,1,3.369
70.89,42.81,64.46,0,3.099
20.75,37.05,99.41,0,2.348
52.83,38.89,65.02,1,2.766
54.0,32.31,76.48,0,2.117
24.95,28.19,94.07,0,1.732
8.92,31.41,69.8,1,1.194
2.95,44.29,70.68,1,1.604
55.97,37.44,92.34,0,3.265
35.26,30.55,70.93,1,1.76
70.96,34.02,60.11,3,4.152
33.48,41.71,77.12,1,2.664
70.41,38.37,60.5,2,3.385
29.63,36.21,96.39,1,2.208
57.15,42.7,85.67,0,3.386
6.11,38.45,83.32,1,1.817
39.99,37.85,68.06,3,3.982
57.75,28.8,88.0,1,2.591
66.58,27.13,87.09,2,3.211
59.23,44.3,62.42,3,4.384
2.66,36.98,95.23,0,1.631
26.83,33.31,83.18,1,1.803
3.51,36.78,91.7,1,1.866
7.87,26.24,70.52,0,0.695
48.62,41.44,64.88,1,2.666
51.35,29.33,88.1,2,3.208
55.71,41.09,91.76,1,3.517
62.31,35.69,75.44,0,2.816
53.24,30.53,60.95,1,2.136
57.66,25.6,92.73,0,2.433
3.53,41.32,68.24,2,2.2
16.89,28.53,73.56,0,0.728
44.78,26.04,85.13,2,2.929
61.79,40.12,64.0,1,2.928
0.32,32.0,62.88,1,1.021
37.05,32.79,61.03,1,1.649
48.76,29.94,96.67,0,2.37
2.13,42.18,72.46,1,1.408
28.9,30.95,86.43,2,2.79
64.49,29.2,99.57,2,3.446
48.36,31.18,86.78,0,2.165
17.11,29.06,81.0,1,1.61
61.4,31.35,80.84,2,3.316
25.06,26.66,75.08,2,2.0
61.44,28.17,83.99,1,2.837
21.52,33.34,98.35,0,2.154
42.5,42.59,91.52,3,4.925
28.58,26.15,76.97,1,1.769
19.79,29.25,73.3,1,1.427
63.83,43.17,95.34,2,4.506
13.51,42.8,65.43,0,1.472
6.11,38.59,93.98,2,2.73
24.62,29.81,70.2,0,1.275
51.67,33.4,88.63,1,2.708
58.14,29.22,92.25,3,4.476
71.91,27.57,79.08,3,4.654
21.34,32.6,67.69,2,2.292
29.37,36.52,93.79,2,3.485
9.85,32.2,74.7,0,1.048
41.39,37.22,72.83,3,3.669
71.83,30.93,80.4,2,3.798
50.46,31.92,77.4,1,2.326
42.86,40.81,87.32,1,2.932
28.25,42.57,65.49,0,1.644
65.9,31.44,77.43,1,2.68
35.78,36.43,95.67,1,2.443
9.67,30.56,61.44,1,0.997
26.31,26.07,78.29,1,1.504
4.84,39.76,86.42,1,1.923
14.54,28.42,95.51,0,1.673
1.27,33.51,83.75,3,3.112
32.64,34.74,92.98,0,1.971
45.69,28.69,68.91,0,1.956
24.72,26.89,74.11,0,1.324
30.27,31.96,97.69,2,2.934
69.06,44.05,95.44,2,4.737
54.14,37.3,82.32,0,2.786
38.94,32.63,79.02,0,1.907
20.49,25.78,78.04,1,1.374
64.58,37.01,62.35,0,2.82
16.93,26.85,95.7,1,1.518
23.42,35.85,92.73,0,1.905
65.45,40.04,78.25,1,3.284
38.13,33.47,71.18,1,1.902
53.45,30.99,73.72,1,2.122
42.53,25.95,64.93,1,1.715
47.05,25.5,88.87,0,2.318
21.56,33.6,82.27,0,1.687
17.38,42.67,69.36,0,1.779
23.22,29.88,84.92,0,1.189
11.19,36.48,99.17,3,3.833
62.95,38.69,64.9,0,2.698
20.39,26.22,78.34,1,1.309
40.43,28.06,79.77,0,1.888
57.02,31.63,66.67,2,3.118
56.44,38.4,81.26,2,3.505
31.56,33.78,84.24,2,2.912
34.29,39.68,66.29,1,2.419
71.62,42.35,66.19,2,3.901
48.57,40.17,94.25,1,3.109
58.65,44.84,72.46,2,3.818
64.98,40.09,85.21,2,4.264
56.71,42.04,85.07,0,2.935
13.33,41.65,93.57,1,2.534
40.48,39.61,89.6,0,2.581
7.34,41.04,93.62,0,2.079
47.01,43.69,85.01,2,3.747
68.79,34.5,77.98,0,2.784
36.92,37.77,75.74,1,2.65
31.17,35.3,75.16,3,3.438
2.58,42.02,76.74,1,1.811
69.1,33.63,65.17,1,3.129
7.42,41.39,76.96,1,1.947
2.96,40.99,75.58,2,2.061
17.72,44.24,61.38,0,1.468
4.72,29.98,71.01,0,0.737
32.77,39.19,90.08,1,2.716
37.16,40.14,83.12,3,4.328
22.51,43.73,92.25,0,2.34
3.67,43.14,81.71,1,1.79
8.04,36.47,94.16,3,3.416
27.68,36.58,91.84,0,2.197
4.36,28.35,63.93,0,1.034
50.27,44.5,99.08,1,3.571
14.91,30.1,60.59,0,0.801
21.75,39.49,83.87,0,1.864
28.38,40.92,91.7,1,2.839
30.0,33.82,73.28,1,1.943
0.12,29.22,83.94,1,0.965
8.07,28.78,74.48,1,1.096
62.12,42.13,62.42,1,2.832
0.09,35.22,60.34,1,1.071
36.59,26.8,63.79,2,2.776
35.24,39.34,63.94,2,2.924
23.98,30.0,84.44,1,1.773
31.06,42.53,81.03,2,3.137
56.2,31.19,78.22,2,2.998
60.57,29.01,87.68,0,2.68
18.75,26.7,60.67,3,2.847
23.22,35.23,70.84,2,2.358
17.46,34.01,91.1,1,2.202
34.55,40.03,96.4,0,2.749
49.19,34.29,77.53,1,2.696
16.43,31.88,63.26,1,1.392
23.81,30.23,91.95,1,1.889
66.99,30.56,95.41,1,2.95
3.5,43.56,76.55,0,1.594
33.18,28.3,69.73,0,1.668
51.23,44.76,61.76,2,3.358
10.83,31.54,83.64,0,1.402
3.41,26.77,96.39,1,1.106
9.95,29.97,87.12,0,1.407
66.16,26.17,72.69,1,2.582
0.67,40.8,85.72,1,1.626
13.56,35.25,93.28,0,1.766
2.25,31.74,79.03,1,1.398
7.97,38.24,92.79,1,1.82
44.65,37.61,75.68,0,2.175
17.4,43.8,73.94,1,2.108
40.98,44.23,83.32,1,3.408
42.49,38.61,78.59,1,2.51
